,SVG,PLAYER,PLAY TYPE,MADE,SHOT TYPE,BOXSCORE,VTM,HTM,Game Date,PERIOD,TIME REMAINING,SHOT DISTANCE (FT),TEAM
0,,Nikola Jokić,Jump Shot,✔Made Shot,3PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",1,11:49,24,Denver Nuggets
1,,Nikola Jokić,Driving Floating Jump Shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",1,08:10,2,Denver Nuggets
2,,Nikola Jokić,Jump Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",1,07:59,13,Denver Nuggets
3,,Nikola Jokić,Driving Layup Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",1,05:03,2,Denver Nuggets
4,,Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",1,04:05,8,Denver Nuggets
5,,Nikola Jokić,Fadeaway Jump Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",1,03:40,16,Denver Nuggets
6,,Nikola Jokić,Driving Finger Roll Layup Shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",1,03:07,0,Denver Nuggets
7,,Nikola Jokić,Turnaround Fadeaway shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",1,00:01,12,Denver Nuggets
8,,Nikola Jokić,Jump Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",2,05:06,15,Denver Nuggets
9,,Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",2,04:13,7,Denver Nuggets
10,,Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",2,00:37,5,Denver Nuggets
11,,Nikola Jokić,Pullup Jump shot,✔Made Shot,3PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",2,00:01,40,Denver Nuggets
12,,Nikola Jokić,Cutting Dunk Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,10:40,1,Denver Nuggets
13,,Nikola Jokić,Turnaround Jump Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,09:33,8,Denver Nuggets
14,,Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,09:07,8,Denver Nuggets
15,,Nikola Jokić,Turnaround Fadeaway shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,07:59,12,Denver Nuggets
16,,Nikola Jokić,Jump Shot,✔Made Shot,3PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,07:01,25,Denver Nuggets
17,,Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,06:09,9,Denver Nuggets
18,,Nikola Jokić,Tip Layup Shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,06:05,0,Denver Nuggets
19,,Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,04:13,25,Denver Nuggets
20,,Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,03:51,6,Denver Nuggets
21,,Nikola Jokić,Driving Hook Shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,02:36,9,Denver Nuggets
22,,Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,02:00,25,Denver Nuggets
23,,Nikola Jokić,Driving Floating Jump Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",3,01:39,4,Denver Nuggets
24,,Nikola Jokić,Layup Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",4,07:02,1,Denver Nuggets
25,,Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",4,05:26,26,Denver Nuggets
26,,Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",4,04:09,6,Denver Nuggets
27,,Nikola Jokić,Putback Layup Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",4,04:07,0,Denver Nuggets
28,,Nikola Jokić,Layup Shot,✔Made Shot,2PT Field Goal, DEN @ ATL, DEN , ATL ,"Sunday, December 8",4,03:18,1,Denver Nuggets
