,PLAYER,PLAY TYPE,MADE,SHOT TYPE,BOXSCORE,VTM,HTM,Game Date,PERIOD,video_file,VIDEO_FILE
0,Nikola Jokić,Jump Shot,✔Made Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
1,Nikola Jokić,Driving Floating Jump Shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
2,Nikola Jokić,Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
3,Nikola Jokić,Driving Layup Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
4,Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
5,Nikola Jokić,Fadeaway Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
6,Nikola Jokić,Driving Finger Roll Layup Shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
7,Nikola Jokić,Turnaround Fadeaway shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
8,Nikola Jokić,Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
9,Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
10,Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
11,Nikola Jokić,Pullup Jump shot,✔Made Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
12,Nikola Jokić,Cutting Dunk Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
13,Nikola Jokić,Turnaround Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
14,Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
15,Nikola Jokić,Turnaround Fadeaway shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
16,Nikola Jokić,Jump Shot,✔Made Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
17,Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
18,Nikola Jokić,Tip Layup Shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
19,Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
20,Nikola Jokić,Floating Jump shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
21,Nikola Jokić,Driving Hook Shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
22,Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
23,Nikola Jokić,Driving Floating Jump Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
24,Nikola Jokić,Layup Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
25,Nikola Jokić,Jump Shot,✖Missed Shot,3PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
26,Nikola Jokić,Floating Jump shot,✖Missed Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
27,Nikola Jokić,Putback Layup Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
28,Nikola Jokić,Layup Shot,✔Made Shot,2PT Field Goal,DEN @ ATL,DEN,ATL,"Sunday, December 8",Denver Nuggets,,
